,id
0,7129300520
1,6414100192
2,5631500400
3,2487200875
4,1954400510
5,7237550310
6,1321400060
7,2008000270
8,2414600126
9,3793500160
10,1736800520
11,9212900260
12,114101516
13,6054650070
14,1175000570
15,9297300055
16,1875500060
17,6865200140
18,16000397
19,7983200060
20,6300500875
21,2524049179
22,7137970340
23,8091400200
24,3814700200
25,1202000200
26,1794500383
27,3303700376
28,5101402488
29,1873100390
30,8562750320
31,2426039314
32,461000390
33,7589200193
34,7955080270
35,9547205180
36,9435300030
37,2768000400
38,7895500070
39,2078500320
40,5547700270
41,7766200013
42,7203220400
43,9270200160
44,1432701230
45,8035350320
46,8945200830
47,4178300310
48,9215400105
49,822039084
50,5245600105
51,7231300125
52,7518505990
53,3626039271
54,4217401195
55,9822700295
56,9478500640
57,2799800710
58,7922800400
59,8079040320
60,1516000055
61,9558200045
62,5072410070
63,9528102996
64,1189001180
65,3253500160
66,3394100030
67,3717000160
68,1274500060
69,1802000060
70,1525059190
71,1049000060
72,8820901275
73,5416510140
74,3444100400
75,3276920270
76,4036801170
77,2391600320
78,6300000287
79,1531000030
80,5104520400
81,7437100340
82,9418400240
83,1523059105
84,1133000671
85,4232902595
86,2599001200
87,3342103156
88,1332700270
89,3869900162
90,2791500270
91,5036300431
92,4168000060
93,6021501535
94,6021501535
95,1483300570
96,3422049190
97,1099611230
98,722079104
99,7338200240
100,1952200240
101,5200100125
102,7214720075
103,2450000295
104,6197800045
105,1328310370
106,546000875
107,3530510041
108,1853000400
109,3134100116
110,9545230140
111,3362400511
112,2525310310
113,6126500060
114,8961960160
115,3626039325
116,3362400431
117,4060000240
118,3454800060
119,1695900060
120,7278700070
121,6675500070
122,3626039187
123,3524049083
124,3275860240
125,4389200955
126,4058801670
127,8732020310
128,2331300505
129,7853210060
130,3668000070
131,9545240070
132,1243100136
133,8929000270
134,2767602356
135,921049315
136,3655000070
137,4027700812
138,3992700335
139,2767603505
140,4232901525
141,1777500060
142,1432900240
143,6140100875
144,6071600370
145,1526069017
146,809001525
147,3224079105
148,8075400570
149,1994200024
150,3362900810
151,1324300398
152,537000445
153,7855801670
154,7920100045
155,8960000030
156,6388930390
157,8731900200
158,8029200135
159,1081200350
160,84000105
161,3756500060
162,7215720160
163,3574800520
164,2617300160
165,2558660270
166,2009000370
167,1836980160
168,3261020370
169,1755700060
170,4330600435
171,9542800700
172,1999700045
173,1762600070
174,1687900520
175,7234600798
176,3881900445
177,2254502445
178,5437810320
179,9158100075
180,3830630310
181,8123100045
182,3127200041
183,6661200320
184,11510310
185,825059270
186,8731951370
187,1954440060
188,2264500350
189,1115810060
190,9477200200
191,1432600560
192,2287000060
193,3663500060
194,3996900125
195,7796450200
196,7549802535
197,3278600320
198,2824079053
199,1222069094
200,3542300060
201,2222059065
202,7551300060
203,100600550
204,3211100860
205,3456000310
206,9526600140
207,7465900060
208,1222000055
209,6300000550
210,2310030510
211,1025049114
212,8677300550
213,4014400292
214,1102000196
215,257000138
216,46100204
217,1909600046
218,1250202145
219,7611200125
220,5611500140
221,7138000260
222,626059335
223,1922059282
224,705700390
225,7454001200
226,8682281200
227,7972000200
228,722059070
229,7202340400
230,8096000060
231,2424000060
232,9264902050
233,943100260
234,3677400445
235,1762600320
236,4058000060
237,7228500560
238,326069104
239,5152100060
240,3584000310
241,8150100045
242,1868901275
243,6131600075
244,9468200125
245,8029510030
246,2025069065
247,7899800890
248,3021059276
249,3797001895
250,3832710960
251,1310430400
252,1422300030
253,1105000588
254,3830630060
255,5101404898
256,7972601890
257,5127001620
258,9407100800
259,1873100060
260,8722101360
261,8644000060
262,3325069129
263,1400300055
264,2123039032
265,8078560140
266,3438500192
267,7974200510
268,2557000400
269,7960900060
270,4054500390
271,6378500125
272,1745100140
273,2976800796
274,4235400186
275,4215100060
276,9189700045
277,1126049053
278,2022069200
279,9412900055
280,1722059235
281,6874200960
282,7424700045
283,7202360350
284,5634500392
285,1509500060
286,7214810350
287,6647200060
288,9552700140
289,2200500350
290,6113400046
291,6619910140
292,1115450240
293,6073240060
294,9297300045
295,9510920070
296,5468730030
297,8079030390
298,600000152
299,1840000030
300,3225069065
301,3260800030
302,2747100024
303,5104530560
304,4330600350
305,5016001535
306,7280300196
307,8651520400
308,7171200445
309,3204800200
310,3416600800
311,7994700030
312,1860600135
313,4139480200
314,4139480200
315,1328320800
316,7771300125
317,3422059208
318,9521101455
319,4337000335
320,325059286
321,2597650240
322,3353400435
323,7972000240
324,7520000520
325,7520000520
326,3530210260
327,1959700550
328,1665400045
329,9542850320
330,3179100060
331,2946001550
332,8078490390
333,9550201550
334,191100045
335,5009600070
336,200350070
337,2877103726
338,405100295
339,4268200055
340,3126069068
341,1115300070
342,6414100671
343,7004200060
344,7852110140
345,3969300030
346,3969300030
347,4048400070
348,808000070
349,7374200030
350,7325600160
351,2757000030
352,616000140
353,3363900111
354,9262800171
355,6607000126
356,5416510830
357,2201500030
358,325059171
359,952003285
360,3211290370
361,1072010350
362,8856950070
363,925059078
364,7855801090
365,723099065
366,6116500075
367,1118500030
368,424069250
369,3291800710
370,6838700060
371,2231500030
372,2231500030
373,7683900200
374,8155830060
375,98020310
376,9423400140
377,1545804860
378,2883200160
379,7132300695
380,1726059053
381,624111000
382,808300310
383,8563040160
384,713500030
385,8651600160
386,9517200030
387,2460700700
388,1223039290
389,2890100060
390,7972600860
391,8857320070
392,4047200695
393,1653500070
394,1923000030
395,3649100320
396,7375300160
397,5175800060
398,1604601375
399,2473251090
400,9126100861
401,3420069065
402,6021501685
403,1151100070
404,8856950240
405,9385200055
406,7821200390
407,8078520310
408,1565950030
409,1560930070
410,6700400140
411,2422029094
412,1774220160
413,1525200060
414,1678400105
415,3426059070
416,824079032
417,2697100140
418,8724300030
419,8678500060
420,625049299
421,6073200075
422,6388900710
423,1442860160
424,7942600310
425,1545808560
426,936000060
427,9808650060
428,3754700160
429,305500140
430,5468750060
431,2944010240
432,3454000060
433,646910160
434,8564950390
435,2268400350
436,7504101040
437,11500890
438,9528102772
439,284000223
440,3353401710
441,8159610030
442,3179100435
443,822079033
444,8857600960
445,1774000200
446,2024069128
447,1049010390
448,7905370390
449,4140090240
450,4055700030
451,3775300030
452,2525300030
453,1324059104
454,2287000030
455,7702010030
456,1529200340
457,2122039094
458,1742800030
459,1796360350
460,6154500070
461,1843100340
462,8944290160
463,4166600473
464,7282300125
465,8658300340
466,2419600075
467,2621760350
468,1723049270
469,4123840310
470,2172000075
471,8651611170
472,8820902200
473,8651610890
474,1853080570
475,3629920030
476,1604602050
477,6844700810
478,66000070
479,6665800030
480,2205700350
481,5466000030
482,6189200125
483,9169600135
484,2625069070
485,8732131090
486,9286000240
487,1895000260
488,8691370400
489,5423010350
490,8562501040
491,2475200140
492,7942100310
493,3760000030
494,1727500340
495,9828702519
496,4432600075
497,7806300030
498,9274202270
499,7852030960
500,7852170140
501,7518503335
502,5467900070
503,1245002952
504,8906200070
505,5379805885
506,2769600560
507,9238901420
508,5113400431
509,3885805665
510,8121200810
511,5126310400
512,7322910030
513,2827100070
514,9276201895
515,4402700070
516,1922059046
517,925059288
518,4386700135
519,1923069078
520,1432400335
521,1180003090
522,726049331
523,3340401555
524,7453000070
525,4348800030
526,7202331420
527,3225079035
528,6381500700
529,339500160
530,1545807610
531,1843200240
532,4403600270
533,2008200060
534,1521069070
535,2459500310
536,6204420070
537,5694500105
538,5466410030
539,9485740340
540,622049114
541,2270000070
542,1310900260
543,224069094
544,7800800160
545,2944000240
546,4139400710
547,7899800860
548,2473420140
549,5000500055
550,4099500935
551,1373800295
552,4025300135
553,3294700310
554,8718500075
555,4309710240
556,5486800070
557,236400320
558,4376700570
559,8648100200
560,3624079046
561,1921069084
562,6431500140
563,2725069050
564,5307100060
565,7203102050
566,561000075
567,2436701180
568,809002765
569,4045500710
570,5104510270
571,98020350
572,1714900060
573,1189000030
574,2473360060
575,222069082
576,8669160310
577,1526069135
578,1088650310
579,8945200860
580,7853240200
581,7511800070
582,2998800125
583,3876300310
584,5419800510
585,192460060
586,7942601895
587,7504010570
588,1442740140
589,6909200575
590,2525069041
591,3620069036
592,2781280390
593,9542830350
594,1123049053
595,8018600765
596,3278600240
597,7846200070
598,662310400
599,8651100140
600,8682250350
601,3211230260
602,4233400340
603,7199350340
604,3904901710
605,240000058
606,6865200444
607,9498200046
608,1796380960
609,5631500868
610,3126049411
611,2321300390
612,3905040800
613,4379400260
614,5115000160
615,2826049234
616,6600700030
617,3904930240
618,9407110700
619,1682500160
620,8078570390
621,3010300240
622,9500900135
623,461001615
624,6411600069
625,7812800565
626,7548300731
627,8925100390
628,7010700292
629,9485951170
630,5437820310
631,582000135
632,3204800370
633,8832900550
634,9550204515
635,7199330390
636,6131600060
637,5379805460
638,7212652180
639,6379500640
640,4315700060
641,3329500060
