,Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized
0,"King County, WA - All Homes",,,,,,,,
1,Statistic,,,Zillow Home Value Index,,,,,
2,Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized
49,98092,zipcode,All Homes,"$465,600",1.2%,3.5%,8.4%,8.3%,4.7%
50,98101,zipcode,All Homes,"$681,100",0.4%,1.2%,-1.1%,7.9%,5.9%
51,98102,zipcode,All Homes,"$738,500",0.5%,1.6%,0.2%,7.6%,5.6%
52,98103,zipcode,All Homes,"$842,500",0.8%,2.3%,2.3%,8.4%,6.6%
53,98104,zipcode,All Homes,"$640,500",0.4%,1.8%,1.5%,8.4%,5.3%
54,98105,zipcode,All Homes,"$1,034,000",0.6%,1.3%,1.1%,7.8%,6.3%
55,98106,zipcode,All Homes,"$553,700",0.7%,2.3%,3.1%,11.1%,6.4%
56,98107,zipcode,All Homes,"$798,700",0.6%,1.5%,-0.2%,8.1%,6.7%
57,98108,zipcode,All Homes,"$617,500",1.0%,3.4%,5.7%,10.6%,6.7%
58,98109,zipcode,All Homes,"$756,200",0.5%,1.7%,0.2%,8.4%,5.8%
59,98112,zipcode,All Homes,"$1,287,300",0.6%,2.3%,3.3%,7.8%,6.0%
60,98115,zipcode,All Homes,"$861,600",0.8%,2.1%,1.8%,8.0%,6.5%
61,98116,zipcode,All Homes,"$816,300",0.7%,2.3%,4.0%,7.6%,5.5%
62,98117,zipcode,All Homes,"$844,000",0.6%,1.7%,1.6%,7.9%,6.5%
63,98118,zipcode,All Homes,"$622,800",0.8%,2.4%,3.6%,10.2%,6.1%
64,98119,zipcode,All Homes,"$976,700",0.5%,1.7%,0.7%,8.2%,6.4%
65,98121,zipcode,All Homes,"$634,000",0.3%,1.3%,-2.0%,8.8%,5.3%
66,98122,zipcode,All Homes,"$815,100",0.7%,2.2%,2.8%,9.2%,7.0%
67,98125,zipcode,All Homes,"$685,200",0.7%,2.0%,1.3%,9.0%,6.4%
68,98126,zipcode,All Homes,"$646,200",0.6%,2.4%,3.3%,9.2%,6.0%
69,98133,zipcode,All Homes,"$618,100",0.8%,2.5%,3.2%,9.9%,6.4%
70,98134,zipcode,All Homes,"$435,300",0.3%,1.6%,1.8%,11.2%,7.4%
71,98136,zipcode,All Homes,"$769,400",0.7%,2.1%,3.1%,8.1%,5.8%
72,98144,zipcode,All Homes,"$749,500",0.5%,1.8%,2.3%,9.2%,6.3%
73,98146,zipcode,All Homes,"$529,700",0.9%,2.9%,5.8%,10.5%,5.7%
74,98148,zipcode,All Homes,"$464,600",1.0%,3.1%,7.1%,10.7%,5.6%
75,98155,zipcode,All Homes,"$627,800",0.8%,2.5%,3.7%,9.4%,6.2%
76,98164,zipcode,All Homes,"$780,800",-0.4%,-1.2%,-2.7%,7.6%,5.4%
77,98166,zipcode,All Homes,"$618,100",1.0%,2.9%,5.6%,8.6%,5.4%
78,98168,zipcode,All Homes,"$437,400",1.1%,3.4%,8.3%,11.3%,6.0%
79,98177,zipcode,All Homes,"$820,300",0.6%,1.7%,2.7%,7.8%,5.7%
80,98178,zipcode,All Homes,"$505,100",0.9%,2.9%,6.0%,11.0%,6.1%
81,98188,zipcode,All Homes,"$428,200",1.3%,4.3%,9.2%,11.0%,5.5%
82,98198,zipcode,All Homes,"$427,600",1.2%,3.5%,8.3%,10.0%,5.2%
83,98199,zipcode,All Homes,"$1,013,900",0.4%,1.7%,2.7%,7.6%,5.9%
84,98224,zipcode,All Homes,"$313,400",1.3%,4.0%,12.7%,9.3%,---
85,98251,zipcode,All Homes,"$333,100",0.9%,2.8%,7.2%,10.2%,5.1%
86,98288,zipcode,All Homes,"$296,100",0.2%,-0.0%,1.4%,7.0%,---
87,98354,zipcode,All Homes,"$406,000",1.4%,3.1%,8.5%,10.2%,5.2%
